Symbol,Date,Open,High,Low,Close,Volume
094360,2013-10-29,4100,4100,4100,4100,400
094360,2013-10-30,4100,4100,4100,4100,700
094360,2013-10-31,4000,4000,4000,4000,1000
094360,2013-11-01,4000,4000,4000,4000,500
094360,2013-11-04,4000,4000,4000,4000,500
094360,2013-11-05,0,0,0,3965,0
094360,2013-11-06,0,0,0,3900,0
094360,2013-11-07,0,0,0,3900,0
094360,2013-11-08,3890,3890,3890,3890,400
094360,2013-11-11,0,0,0,3800,0
094360,2013-11-12,0,0,0,3800,0
094360,2013-11-13,0,0,0,3800,0
094360,2013-11-14,3800,3800,3800,3800,500
094360,2013-11-15,0,0,0,3695,0
094360,2013-11-18,3400,3400,3400,3400,100
094360,2013-11-19,0,0,0,3400,0
094360,2013-11-20,0,0,0,3400,0
094360,2013-11-21,3200,3200,3200,3200,300
094360,2013-11-22,0,0,0,3180,0
094360,2013-11-25,0,0,0,3180,0
094360,2013-11-26,0,0,0,3180,0
094360,2013-11-27,0,0,0,3180,0
094360,2013-11-28,0,0,0,3180,0
094360,2013-11-29,0,0,0,3180,0
094360,2013-12-02,0,0,0,3180,0
094360,2013-12-03,0,0,0,3180,0
094360,2013-12-04,0,0,0,3180,0
094360,2013-12-05,0,0,0,3180,0
094360,2013-12-06,0,0,0,2950,0
094360,2013-12-09,0,0,0,3300,0
094360,2013-12-10,0,0,0,3600,0
094360,2013-12-11,3600,3600,3600,3600,500
094360,2013-12-12,0,0,0,3600,0
094360,2013-12-13,0,0,0,3600,0
094360,2013-12-16,0,0,0,3600,0
094360,2013-12-17,0,0,0,3600,0
094360,2013-12-18,0,0,0,3600,0
094360,2013-12-19,0,0,0,3700,0
094360,2013-12-20,0,0,0,3700,0
094360,2013-12-23,0,0,0,3700,0
094360,2013-12-24,0,0,0,3700,0
094360,2013-12-26,3700,3700,3700,3700,500
094360,2013-12-27,0,0,0,3700,0
094360,2013-12-30,0,0,0,3700,0
094360,2014-01-02,0,0,0,3600,0
094360,2014-01-03,3600,3600,3600,3600,500
094360,2014-01-06,3600,3600,3600,3600,500
094360,2014-01-07,3700,3700,3700,3700,500
094360,2014-01-08,0,0,0,3700,0
094360,2014-01-09,3600,3600,3600,3600,300
094360,2014-01-10,3700,3700,3700,3700,500
094360,2014-01-13,0,0,0,3600,0
094360,2014-01-14,3500,3500,3500,3500,500
094360,2014-01-15,3400,3400,3400,3400,300
094360,2014-01-16,3300,3300,3300,3300,400
094360,2014-01-17,0,0,0,3400,0
094360,2014-01-20,0,0,0,3400,0
094360,2014-01-21,0,0,0,3400,0
094360,2014-01-22,0,0,0,3400,0
094360,2014-01-23,0,0,0,3400,0
094360,2014-01-24,0,0,0,3400,0
094360,2014-01-27,0,0,0,3400,0
094360,2014-01-28,0,0,0,3390,0
094360,2014-01-29,3200,3200,3200,3200,500
094360,2014-02-03,3000,3000,3000,3000,500
094360,2014-02-04,3000,3000,3000,3000,500
094360,2014-02-05,0,0,0,3100,0
094360,2014-02-06,0,0,0,3100,0
094360,2014-02-07,0,0,0,3100,0
094360,2014-02-10,0,0,0,3100,0
094360,2014-02-11,0,0,0,3100,0
094360,2014-02-12,3100,3100,3100,3100,100
094360,2014-02-13,0,0,0,3100,0
094360,2014-02-14,0,0,0,3100,0
094360,2014-02-17,0,0,0,3100,0
094360,2014-02-18,0,0,0,3100,0
094360,2014-02-19,3000,3000,3000,3000,500
094360,2014-02-20,0,0,0,3000,0
094360,2014-02-21,0,0,0,3300,0
094360,2014-02-24,0,0,0,3250,0
094360,2014-02-25,0,0,0,3250,0
094360,2014-02-26,0,0,0,3150,0
094360,2014-02-27,3000,3000,3000,3000,500
094360,2014-02-28,0,0,0,3100,0
094360,2014-03-03,3200,3200,3200,3200,200
094360,2014-03-04,0,0,0,3200,0
094360,2014-03-05,3000,3000,3000,3000,500
094360,2014-03-06,3000,3000,3000,3000,200
094360,2014-03-07,0,0,0,3000,0
094360,2014-03-10,3100,3100,3100,3100,500
094360,2014-03-11,3200,3200,3200,3200,200
094360,2014-03-12,3100,3100,3100,3100,200
094360,2014-03-13,3200,3200,3200,3200,500
094360,2014-03-14,3100,3100,3100,3100,500
094360,2014-03-17,0,0,0,3100,0
094360,2014-03-18,3000,3000,3000,3000,500
094360,2014-03-19,3000,3000,3000,3000,500
094360,2014-03-20,2900,2900,2900,2900,500
094360,2014-03-21,2800,2800,2800,2800,400
094360,2014-03-24,0,0,0,2800,0
094360,2014-03-25,0,0,0,2800,0
094360,2014-03-26,0,0,0,2800,0
094360,2014-03-27,0,0,0,2800,0
094360,2014-03-28,2800,2800,2800,2800,500
094360,2014-03-31,0,0,0,2800,0
094360,2014-04-01,0,0,0,2800,0
094360,2014-04-02,2700,2700,2700,2700,200
094360,2014-04-03,0,0,0,2700,0
094360,2014-04-04,0,0,0,2700,0
094360,2014-04-07,0,0,0,3000,0
094360,2014-04-08,0,0,0,3000,0
094360,2014-04-09,0,0,0,3100,0
094360,2014-04-10,0,0,0,3200,0
094360,2014-04-11,0,0,0,3300,0
094360,2014-04-14,0,0,0,3400,0
094360,2014-04-15,0,0,0,3500,0
094360,2014-04-16,0,0,0,3600,0
094360,2014-04-17,0,0,0,3700,0
094360,2014-04-18,0,0,0,3800,0
094360,2014-04-21,3900,3900,3900,3900,500
094360,2014-04-22,4000,4000,4000,4000,300
094360,2014-04-23,4000,4000,4000,4000,300
094360,2014-04-24,4000,4000,4000,4000,300
094360,2014-04-25,4000,4000,4000,4000,300
094360,2014-04-28,4000,4000,4000,4000,300
094360,2014-04-29,4000,4000,4000,4000,300
094360,2014-04-30,4000,4000,4000,4000,300
094360,2014-05-02,3500,3500,3500,3500,300
094360,2014-05-07,0,0,0,3500,0
094360,2014-05-08,0,0,0,3500,0
094360,2014-05-09,0,0,0,3500,0
094360,2014-05-12,0,0,0,3500,0
094360,2014-05-13,0,0,0,3700,0
094360,2014-05-14,0,0,0,3700,0
094360,2014-05-15,3700,3700,3700,3700,300
094360,2014-05-16,0,0,0,3500,0
094360,2014-05-19,3500,3500,3500,3500,300
094360,2014-05-20,0,0,0,3700,0
094360,2014-05-21,0,0,0,3700,0
094360,2014-05-22,0,0,0,3700,0
094360,2014-05-23,0,0,0,3700,0
094360,2014-05-26,3700,3700,3700,3700,300
094360,2014-05-27,3700,3700,3700,3700,300
094360,2014-05-28,3500,3500,3500,3500,300
094360,2014-05-29,3500,3500,3500,3500,300
