Symbol,Date,Open,High,Low,Close,Volume
234100,2015-12-29,10000,10000,10000,10000,20
234100,2015-12-30,10000,10000,10000,10000,0
234100,2016-01-04,10000,10000,10000,10000,0
234100,2016-01-05,10000,10000,10000,10000,0
234100,2016-01-06,10000,10000,10000,10000,0
234100,2016-01-07,10000,10000,10000,10000,0
234100,2016-01-08,10000,10000,10000,10000,0
234100,2016-01-11,10000,10000,10000,10000,0
234100,2016-01-12,10000,10000,10000,10000,0
234100,2016-01-13,10000,10000,10000,10000,0
234100,2016-01-14,10000,10000,10000,10000,0
234100,2016-01-15,10000,10000,10000,10000,0
234100,2016-01-18,10000,10000,10000,10000,0
234100,2016-01-19,10000,10000,10000,10000,0
234100,2016-01-20,10000,10000,10000,10000,0
234100,2016-01-21,10000,10000,10000,10000,0
234100,2016-01-22,10000,10000,10000,10000,0
234100,2016-01-25,10000,10000,10000,10000,0
234100,2016-01-26,10000,10000,10000,10000,0
234100,2016-01-27,10000,10000,10000,10000,0
234100,2016-01-28,10000,10000,10000,10000,0
234100,2016-01-29,10000,10000,10000,10000,0
234100,2016-02-01,10000,10000,10000,10000,0
234100,2016-02-02,10000,10000,10000,10000,0
234100,2016-02-03,10000,10000,10000,10000,0
234100,2016-02-04,10000,10000,10000,10000,0
234100,2016-02-05,10000,10000,10000,10000,0
234100,2016-02-11,10000,10000,10000,10000,0
234100,2016-02-12,10000,10000,10000,10000,0
234100,2016-02-15,10000,10000,10000,10000,0
234100,2016-02-16,10000,10000,10000,10000,0
234100,2016-02-17,10000,10000,10000,10000,0
234100,2016-02-18,10000,10000,10000,10000,0
234100,2016-02-19,10000,10000,10000,10000,0
234100,2016-02-22,10000,10000,10000,10000,0
234100,2016-02-23,10000,10000,10000,10000,0
234100,2016-02-24,10000,10000,10000,10000,0
234100,2016-02-25,10000,10000,10000,10000,0
234100,2016-02-26,10000,10000,10000,10000,0
234100,2016-02-29,10000,10000,10000,10000,0
234100,2016-03-02,10000,10000,10000,10000,0
234100,2016-03-03,10000,10000,10000,10000,0
234100,2016-03-04,10000,10000,10000,10000,0
234100,2016-03-07,10000,10000,10000,10000,0
234100,2016-03-08,10000,10000,10000,10000,0
234100,2016-03-09,10000,10000,10000,10000,0
234100,2016-03-10,10000,10000,10000,10000,0
